#  sigmarray   fwhmarray   lumiarray
#
       37.49          39       520.6
        23.1        42.7       460.7
       24.54        39.7       461.8
       22.62        45.5       496.3
       28.63        36.9         499
       32.76        42.9       544.1
       24.77        44.4         481
        22.8        40.8       462.1
       26.41        42.3       505.6
       23.98        43.3       458.4
       26.62        42.4       506.6
       22.56        39.4       443.8
       26.01        42.2       504.4
#  sigmarray   fwhmarray   lumiarray
#
       24.79        12.5       196.6
        19.4        12.5       172.1
       22.92        14.4       191.5
       19.79        12.9       181.2
       19.96        14.3       171.6
       21.76        12.5       198.9
       18.51          14       175.3
        24.4        12.1       200.3
       20.55        12.2       176.8
       24.06          12       182.1
          24        12.8       195.8
       19.65        13.2       174.5
       19.25          13       172.4
       20.33        12.1       166.2
       20.58        13.4         186
        18.5        13.7       165.4
       20.17        12.7       173.6
       20.38        13.1       182.2
       21.24        12.3       171.1
       20.46        13.5       175.3
       19.19        12.7       169.6
        21.7        12.3       178.7
       22.36        13.1       171.4
        19.7          12       170.3
       23.13        14.9       178.5
       21.55        12.3       174.6
       21.22          12       176.5
       20.38        13.6       179.9
       24.28        12.6       196.5
       22.79        12.8       187.5
        22.4          12       186.9
       23.48        12.4       191.8
       21.93        12.4       181.3
       20.59        13.5       187.5
       27.58        12.7       194.7
       21.99        12.8       196.2
       23.47        12.6       200.2
       22.49        12.9       191.3
       20.44        12.5         176
       24.38        12.6       192.9
       25.44        12.6         198
        24.2        14.5       192.4
       20.89        14.1       186.4
        20.9        12.3       181.9
       23.45        13.1       191.1
       22.88        12.4       187.9
       24.09        14.1       183.9
        23.3        12.2       189.2
       22.43        12.2       174.2
       20.21        13.8       183.1
       22.14        13.3       182.5
       20.09        14.6       174.5
       22.48        13.1       175.8
       20.27        12.7       169.3
       21.48        12.7       200.2
       18.45        13.3       184.5
       21.05        12.8       181.1
       22.15        12.4       189.5
       20.41        13.1       181.6
       21.52        12.2       182.7
       19.54        12.7       182.7
       17.08        13.3       167.9
       19.84          13       190.1
       21.96        12.5       200.5
        19.6        12.7       182.9
        20.4        13.8       177.2
       23.74        12.1       192.1
       19.44        12.5       172.2
       21.38        14.3       184.3
       19.56        13.1       166.5
       20.96        13.1       172.2
       24.54        13.8         192
       20.63          13       176.6
       21.94        12.8       180.8
       22.69        13.5       187.2
       18.79        13.1       175.2
       20.32        13.8       183.2
       20.37        12.1       189.4
       22.73        13.6       179.6
       22.12        12.5       196.2
       25.46        12.1       195.6
       20.77        13.4       182.6
       16.52        14.7       166.9
       20.49        13.2       174.5
       21.52        13.4         186
       21.62        12.7       180.6
       21.37        12.4         189
       25.15        12.1       203.9
       19.75        13.4       167.6
       21.06        13.2       184.1
       23.44        13.2         181
       19.01        13.6       177.1
       20.38        11.7       175.3
       19.25        12.9       176.5
       19.82          14       174.7
       25.89        13.1         193
       20.15        12.8       189.5
       22.84          12       185.5
       22.82        12.6       193.9
       21.93        13.4       187.9
