 classname				 z_shen  gbflux psfmagr logMBH_shen    logMBH_shen_Err    logMBH_shen_CIV    logMBH_shen_CIV_err 	# CLASS con massa Shen
 GB6J095232+351253 1.87760    371  19.416       9.160           0.146           9.027               0.049 
 GB6J095328+322552 1.57490    184  17.351       9.414           0.033           9.281               0.031 
 GB6J095358+172116 0.71310    199  18.253       8.659           0.062           0.000              -1.000 
 GB6J095457+174329 1.47530    865  17.236       9.702           0.061           0.000              -1.000 
 GB6J095537+333522 2.49110     55  17.367       9.508           0.027           9.508               0.027 
 GB6J095546+374804 2.29170     45  19.679       9.161           0.143           9.161               0.143 
 GB6J095551+500137 2.11830     96  18.264       9.315           0.061           9.315               0.061 
 GB6J095607+393524 1.17290    255  19.139       8.683           0.094           0.000              -1.000 
 GB6J095623+575348 1.77410    292  19.781       8.613           0.328           9.140               0.149 
 GB6J095631+404640 1.51030     41  20.165       8.905           0.181           0.000              -1.000 
 GB6J095647+095414 1.97810    126  18.843       8.880           0.052           8.880               0.052 
 GB6J095650+251511 0.70800   1042  17.948       9.348           0.072           0.000              -1.000 
 GB6J095707+235617 1.99760     79  17.926       9.961           0.189           0.000              -1.000 
 GB6J095736+552258 0.89930   2015  17.587       8.967           0.402           0.000              -1.000 
 GB6J095737+074102 1.66950     49  19.205       9.508           0.121           8.311               0.045 
