classname	gbflux	psfmagr	flag_class	z	RA	DEC	bii
GB6J132138+002333	101	17.626	1	1.618000	200.414858	0.399339	62.3030
GB6J132152+351030	77	19.886	1	1.917810	200.482020	35.177029	79.6475
GB6J132211+214803	182	18.802	1	1.680000	200.547495	21.803408	81.2106
GB6J132217+325242	113	21.797	0	0.000000	200.575390	32.881752	81.1876
GB6J132229+180443	32	19.469	1	2.893990	200.628748	18.078730	78.4602
GB6J132254+391208	208	17.619	1	2.985000	200.731931	39.202209	76.2587
GB6J132324+251808	32	17.826	1	1.388710	200.850620	25.302649	82.6035
GB6J132333+313508	274	15.684	4	0.016180	200.937595	31.565752	81.6809
GB6J132338+645217	94	18.438	0	0.000000	200.909929	64.870163	51.9108
GB6J132351+322403	49	22.927	0	0.000000	200.962186	32.397472	81.2164
