classname	gbflux	psfmagr	flag_class	z	RA	DEC	bii	lii	a_v	psfmagr_corr
GB6J013942+175253	301	18.715	1	2.71994	24.924913	17.885429	-43.49	138.8461	0.296	18.471855201001254
GB6J015235+335037	611	18.23	1	2.40716	28.144065	33.842544	-27.3296	137.2002	0.261	18.015605430612595
GB6J015855+130705	272	18.908	1	1.89168	29.734476	13.117425	-46.5486	147.2043	0.324	18.64185501731219
GB6J015923+310648	190	18.348	1	2.24955	29.851059	31.113289	-29.5431	139.6454	0.263	18.131962560349088
GB6J020310+263246	77	19.577	1	3.351531	30.793798	26.545307	-33.6211	142.2496	0.387	19.259104604011778
GB6J020521+241624	243	19.279	1	2.45053	31.338848	24.275786	-35.5908	143.7445	0.424	18.930711504136934
GB6J021436+015702	103	19.479	1	3.284314	33.649074	1.950847	-54.6898	160.7912	0.17	19.339356027602072
GB6J021748+014451	1419	16.181	1	1.715	34.45398	1.747136	-54.4131	162.1402	0.173	16.038891722206817
GB6J024917+061957	620	17.969	1	1.881	42.325068	6.331098	-46.0428	167.7089	0.59	17.48435327226602
GB6J034423+155934	313	19.944	1	2.276	56.096556	15.995381	-29.8429	172.323	1.334	18.848205534242148
GB6J040738+001713	40	19.656	1	3.7	61.902538	0.290628	-35.525	191.0439	0.989	18.843600654696765
GB6J042457+080533	163	19.871	1	3.085	66.240012	8.088152	-27.4799	186.5293	0.888	19.141565603003766
GB6J042834+173228	175	18.225	1	3.317	67.148473	17.539888	-20.9719	178.9432	1.31	17.14891997740421
GB6J044907+112125	794	19.954	1	2.153	72.281963	11.357949	-20.7365	187.4274	1.19	18.97649219321451
GB6J051340+010028	368	19.344	1	2.679	78.416798	1.006012	-21.1123	200.2833	0.566	18.87906771542808
GB6J072201+372235	302	17.813	1	1.63	110.505252	37.374622	21.7708	180.9386	0.345	17.52960487954538
GB6J072622+412438	120	19.154	1	1.80172	111.593428	41.412128	23.7642	177.0228	0.447	18.786818496106626
GB6J073051+404954	473	18.967	1	2.501	112.713955	40.830784	24.4178	177.8877	0.361	18.670461917437343
GB6J073631+284032	82	20.077	1	3.625598	114.12999	28.676899	21.8032	190.8599	0.268	19.856855384690327
GB6J074308+394108	416	18.469	1	1.70448	115.791192	39.691887	26.39	179.7797	0.317	18.208605063234454
GB6J074625+254906	476	19.497	1	2.979	116.607814	25.817263	22.8914	194.5811	0.246	19.29492695758888
GB6J075009+501505	229	19.403	1	2.09755	117.534757	50.251892	29.6539	168.3114	0.317	19.142605063234452
GB6J075020+481458	902	18.413	1	1.957	117.585161	48.248211	29.395	170.5952	0.298	18.168212330737752
GB6J075039+192003	124	18.316	1	1.924	117.666386	19.329811	21.4421	201.4911	0.215	18.13939144667321
GB6J075303+423131	450	17.63	1	3.594144	118.26391	42.525211	28.8446	177.1394	0.244	17.429569827852387
GB6J075529+232919	81	20.577	1	3.688915	118.870511	23.490469	24.0096	197.7388	0.327	20.308390711916932
GB6J075837+135756	88	17.798	1	2.20393	119.656784	13.959375	21.0756	207.5936	0.171	17.65753459247032
